seed,theta10_0_1,theta10_0_2,theta10_0_3,theta10_0_4,theta10_0_5,theta1_0_1,theta1_0_2,theta1_0_3,theta1_0_4,theta1_0_5,theta2_0_1,theta2_0_2,theta2_0_3,theta2_0_4,theta2_0_5,theta2_1_1,theta2_1_2,theta2_1_3,theta2_1_4,theta2_1_5,theta3_0_1,theta3_0_2,theta3_0_3,theta3_0_4,theta3_0_5
327,1.9750370133313964,1.6152815691002012,1.300286955763365,1.1462008508427748,1.0718153620604616,1.3627230575106721,1.1671242139967295,1.0875574459328359,1.0496883116971332,1.031074553042218,1.0570972765274589,1.1702137495951916,1.1983619032373511,1.1929487251334376,1.1869029240210207,0.7783090168548931,1.042496948440611,1.124500741429367,1.1510596567314793,1.159092587461459,0.9251299002696092,0.9315375601288859,0.9365289623399583,0.9348560665646295,0.9345366064746544
328,0.1,0.813754045508922,0.978134256301203,1.0436984479954017,1.0732508555124323,0.9057783326443996,0.9842491980590283,1.0158166815991798,1.0312218955126196,1.0371594991855322,1.026643109830465,1.10122892150492,1.1237114314156367,1.1183648759200389,1.1134917219252856,0.7305323232450446,0.9164261090467791,0.9712592852288563,0.9873791009083516,0.9918847088221726,1.0349781690440083,1.0383845504672087,1.0443460159370275,1.0427847215340043,1.0425190166439549
329,0.520176515367647,0.8250406423213552,0.8950997579111675,0.986341317065736,1.0226509086935998,0.8618812969822324,0.8825102070694831,0.9389547194014808,0.9562983673138362,0.9737420313517049,1.3858886061640436,1.7132228747861313,1.8180261974370626,1.8843833559351293,1.9185846321600706,0.585629502332804,0.7828227144636677,0.8479998607581937,0.8931435122330056,0.9177754919351448,1.0552306929651754,1.1172453282933046,1.104005287876929,1.1105122921224944,1.1109966644432292
330,0.5815320898900248,0.801738010622745,0.8652582413070512,0.87964019979824,0.8856073737997783,0.8627930378839893,0.8927225617788409,0.8980577366417887,0.9008772785133442,0.9015807402797723,0.94430747183885,0.9052091663434122,0.8959668557062879,0.8773046018930463,0.868172675876428,0.903840523892596,1.096738350244713,1.146492933358847,1.1507981884764193,1.1485949523944574,1.0613544174887655,1.0450682243816403,1.0512497981937041,1.0502596264445294,1.0498532035881725
331,0.1,0.872199992188968,1.048177483233425,1.120633984602308,1.1527066119705953,0.9295692110692942,1.0241026103925057,1.0620832845901464,1.079083952678158,1.085956506622212,1.0174295705259349,1.1065763122212005,1.1323952330173521,1.1310963183871794,1.1283695141064103,0.6778924760390951,0.8503822743148034,0.8999917251366615,0.9157787652055643,0.9206497574093977,0.9988519710029992,1.0012042507241454,1.0048620435268731,1.0034221898028317,1.0032181047733812
332,0.5572277598586203,0.8676422914179757,0.956192202479854,0.9898973966266174,1.0050838126304484,0.9635324978838262,0.9991598121811079,1.0142611177422114,1.021851752984479,1.0243730810184206,0.9611932494245016,1.0115551464370103,1.0252954360623314,1.017010209043854,1.0113721402859388,0.743904582720581,0.9285233464455686,0.9804575126163106,0.9932000905054381,0.99583151462692,0.9889635270597406,0.987225657895864,0.9923004198094751,0.9909792161752958,0.9906970897113159
333,1.743219994325876,1.4244619313576337,1.177142672519384,1.0624806708667565,1.0137532604525974,1.242700327584437,1.0977649818333926,1.0406627733464566,1.0169629723577764,1.0065929541570824,0.9642459570541223,1.0065651301695864,1.0210888588893463,1.0162258683599696,1.0127470198725004,0.7025172453687277,0.8421833163224206,0.8788497877491209,0.8880187795166014,0.8901670373762652,1.0048082747512357,1.002900070868235,1.0073120067242642,1.0062327868623817,1.006053826570967
334,0.1,0.7878912006967353,0.9425111692805451,1.002322943066059,1.0284402387825973,0.8576971822150461,0.9379498719894563,0.9677942613052235,0.9813720448353805,0.9865510595154783,0.989707315784177,1.0573249886201692,1.0774059732476726,1.072541674545011,1.06828807367705,0.7009235461713094,0.8739943421389285,0.9233649872285612,0.9372409465820484,0.9409178600865378,1.022224115894143,1.0205520176985075,1.0250084419889747,1.0235674229391398,1.0233061707476248
335,0.1,0.7523693365889957,0.8907470073422338,0.9451334361145717,0.967274142725525,0.9002627852803795,0.9642027874228726,0.9893323723456138,1.0001042829416635,1.0041815149309101,0.9313645189049112,1.0134404478018335,1.0338990194150826,1.0339315208626025,1.0325143213424481,0.5316453013098933,0.6546340921718763,0.6868731751673588,0.6966324140979365,0.6994245655710082,1.0102319087467269,1.01825070161893,1.0210642073050682,1.020326154412888,1.0202770168639104
336,0.1,0.738369458649085,0.8817950920819486,0.925598131875609,0.9432102345894493,0.8655084159703524,0.9422978336080501,0.9595296676141567,0.967730236862316,0.9705224015994796,0.9382197802826078,0.9227676026516608,0.9205569996046273,0.9030035402802109,0.8935204124829168,0.944991111289962,1.1657383466348203,1.2277204250838916,1.236435378430525,1.2355580599292242,1.0053695029485998,0.9901185746043686,0.9960388308462508,0.9949866092531757,0.9945477922134554
