seed,theta10_0_1,theta10_0_2,theta10_0_3,theta1_0_1,theta1_0_2,theta1_0_3,theta2_0_1,theta2_0_2,theta2_0_3,theta2_1_1,theta2_1_2,theta2_1_3,theta3_0_1,theta3_0_2,theta3_0_3,theta3_1_1,theta3_1_2,theta3_1_3
18,0.3375588202485047,0.2995135792159398,0.2987018099098162,0.3757841910979174,0.29954299922390426,0.3089898155995475,1.3785412526631544,1.4133195269666368,1.4210106633823436,0.715550170959082,0.7379464319715152,0.7429621560905507,0.10413985852112073,0.10151454944581326,0.10024260812895598,0.0007758282529897867,0.00014718073538857792,-1.24672022248969e-05
19,0.3469565346176763,0.30053257432257835,0.2992541031662545,0.3811400573051674,0.3064788855831513,0.3091578100141503,1.5235535810602117,1.5640261146307624,1.5736004441987512,0.7665802158139777,0.7910005089982043,0.7969769912025493,0.1035815001311843,0.1011237254915174,0.09982645754322704,0.0010175798625456471,0.0005178439773834978,0.00041497532156629826
20,0.3535945137543729,0.3084408604757746,0.3076797932583113,0.39509693431550486,0.3070488285023776,0.3143925656671377,1.5396410492984047,1.5729595009989517,1.5824839094349394,0.7833274626259826,0.803075249154253,0.8090898491397314,0.10419921548817944,0.10155976936210484,0.10009174133925437,-5.747114163271245e-06,-0.0005867484606730443,-0.0006793971124450337
21,0.3383768590604208,0.3021081078964909,0.30189596037451616,0.37822665366018116,0.305623175244574,0.3133266756970686,1.4402873928187785,1.4691760762240826,1.477397510581045,0.7452232665911211,0.7631192729156863,0.7684724441637363,0.10415991402231867,0.10146531163174123,0.10003195350636056,0.0009214540700940659,0.0002632416553722153,0.00022651407990295953
22,0.3409096517804959,0.29768841170835936,0.2965781147750296,0.38769743554728636,0.30853120347278445,0.30896310413264216,1.4528886275513027,1.4854358042116584,1.4940907755297566,0.7316722017823849,0.7506234307728435,0.7559739304194543,0.10402907733388972,0.10134641720400603,0.10000349348341409,-0.00018841680059728663,-0.0008251184662001003,-0.000947897646400653
23,0.338149077122959,0.2974317304295444,0.29693008487255385,0.38437061081881285,0.3009135698414846,0.3097758820856139,1.418209244420556,1.4531314465241567,1.4612396864451065,0.7469850713697335,0.7693027139002584,0.7746886289452481,0.10460932616306788,0.10176076090496626,0.1002862420947278,0.0009647404273292755,0.00017154932168143565,0.00017167696665476332
24,0.34028892689464296,0.30411946539672985,0.30296412786800575,0.3677239624536224,0.3058764722490636,0.30876647112482525,1.41828333371337,1.4453893349377238,1.4528347877085572,0.7310407281573928,0.7463130663350782,0.7512828062023842,0.10305187803678674,0.10114036601000535,0.10005496961893748,0.0008676495671826051,-2.5919846346278735e-05,-2.117067125716012e-05
25,0.33959379316392996,0.30067784092651545,0.3002056841716207,0.38029622690737036,0.3013627911955431,0.30830890380913595,1.4972153162373663,1.5337702597624472,1.5432210481302338,0.8702111884534403,0.8943803634722872,0.900884007219433,0.10413277315437222,0.10142577799705395,0.10001344751095262,0.000494472707222618,-4.116781763661631e-05,-0.00017305729146582143
26,0.34518106751916405,0.30862352726220466,0.30810324671782824,0.38151693081308863,0.3041823017391153,0.3119816108807501,1.3793485848939444,1.4086723546964564,1.4163197262185285,0.7377691349531963,0.7556058140247681,0.7606102355701818,0.1034327265720334,0.10098367875120275,0.09973958553552302,0.00045382905104168335,2.1569951175845207e-06,-5.486116017184486e-06
27,0.3315432714059204,0.294666100966221,0.29427761428486093,0.38107162917457293,0.3001723208328723,0.30347746195400394,1.4136574596820721,1.4526251478339165,1.4608979115060952,0.7992356779062293,0.8258132172403022,0.8315821161999231,0.10439361410158217,0.10165295309455984,0.10021694634562266,0.000506112715946671,-9.459230547034255e-05,-0.00015633997564132467
28,0.1,0.29370396041409264,0.30133550984254204,0.3388163271304844,0.3094211879341118,0.31368598229409933,1.5226323626009726,1.5585754971027714,1.5681403751116927,0.8404580710172029,0.8638018559200944,0.8703254267637188,0.10359311144804584,0.10117968091907162,0.09998523370208966,0.0012793980523183011,0.0005971556294255265,0.0005895873815404179
29,0.32690307298824933,0.29846951284307005,0.2986500685550729,0.3595483669858797,0.3023460729603861,0.3056656324836223,1.4984778664803118,1.5322229075499803,1.5414025014273696,0.8670876769155872,0.8897347376435629,0.8962237770955003,0.10392492360231441,0.10149213297275682,0.10014571913572888,0.0005957410326658582,2.9215420575720047e-05,8.128598191337108e-07
30,0.3476924852935583,0.3055288250295242,0.3049041422413867,0.38134679522021486,0.3074637938827755,0.31143765622370967,1.5007993313430197,1.532804995189526,1.5418183489590944,0.8066878123118898,0.8288445861173859,0.8347287523410412,0.10388760728308097,0.10160307887845935,0.1005304528899135,-4.690468990392998e-05,-0.000583676803843543,-0.000640098154887643
31,0.34512142457854444,0.3052939830167255,0.3046071272012862,0.39697460901210185,0.3112145983381406,0.31516346309560395,1.4648497716980136,1.5003015167984357,1.5090685933776076,0.7950364335309413,0.8162729520675297,0.8220599650398357,0.10427828284160648,0.10159745835156096,0.09983785861481564,0.00032353680211329915,-0.00041416765029937355,-0.0005420437952129654
32,0.33604971250137494,0.2985425851941764,0.297971526830529,0.37300163502039624,0.30216713327647904,0.30958194723272836,1.5267668255834526,1.5593088537350366,1.5688335274586978,0.8376350828885992,0.8579006048173986,0.8643774203505289,0.10325913810345799,0.10049694073044221,0.0991204993807904,0.00046263152478590193,-0.0002693556455926834,-0.0002891464814303608
33,0.3566912022353386,0.308242263633649,0.3067425728512959,0.3944934921025811,0.30806931824683026,0.31165026124997874,1.5445147893100493,1.5833101983254467,1.5928976066904692,0.8030397775808563,0.8256211897008373,0.8317022673667637,0.10382024177636665,0.10118737530767252,0.09975333358128381,0.0006830561815569327,0.00016029338793742344,-1.4832680688881377e-05
